date,barometer,vix,vix_pct,regime,regime_changed,trade_needed,svxy_price,svxy_dd_pct,stop_active
2026-06-12,35.59,17.68,59.8,Calm,0,0,54.9,-1.7,0
2026-06-17,29.27,18.44,68.9,Calm,0,0,55.53,-2.32,0
2026-06-18,23.5,16.4,34.7,Calm,0,0,56.44,-0.72,0
2026-06-19,23.6,16.78,46.2,Calm,0,0,56.44,0.0,0
2026-06-22,25.89,17.28,54.6,Calm,0,0,56.52,-0.58,0
2026-06-23,32.97,19.49,76.9,Calm,0,0,55.0,-3.25,0
2026-06-24,35.01,18.63,70.5,Calm,0,0,55.16,-2.97,0
2026-06-25,36.43,18.89,72.5,Calm,0,0,55.61,-2.18,0
2026-06-26,36.54,18.41,68.1,Calm,0,0,55.53,-2.32,0
2026-06-29,33.41,17.65,59.4,Calm,0,0,56.59,-0.46,0
2026-06-30,26.27,16.45,36.7,Calm,0,0,57.26,0.0,0
2026-07-01,26.08,16.59,39.0,Calm,0,0,57.09,-0.3,0
2026-07-02,18.57,16.15,27.5,Calm,0,0,57.31,-0.0,0
2026-07-03,15.16,15.81,23.1,Calm,0,0,57.31,0.0,0
2026-07-06,15.29,15.57,17.9,Calm,0,0,58.07,0.0,0
2026-07-07,15.51,16.13,27.9,Calm,0,0,57.83,-0.41,0
2026-07-08,21.4,16.9,47.0,Calm,0,0,57.29,-1.34,0
2026-07-09,17.57,15.84,23.5,Calm,0,0,57.91,-0.28,0
2026-07-10,10.73,15.03,10.0,Calm,0,0,58.54,-0.0,0
2026-07-13,19.51,17.16,49.8,Calm,0,0,57.66,-1.5,0
2026-07-14,19.72,16.5,37.8,Calm,0,0,58.0,-0.92,0
2026-07-15,14.84,15.67,19.5,Calm,0,0,58.83,-0.0,0
2026-07-16,18.77,16.73,44.6,Calm,0,0,58.12,-1.21,0
2026-07-17,28.31,18.77,71.3,Calm,0,0,56.6,-3.79,0
2026-07-20,32.58,18.65,70.5,Calm,0,0,57.13,-2.89,0
2026-07-21,29.94,17.05,49.4,Calm,0,0,58.14,-1.17,0
2026-07-22,27.62,16.64,41.0,Calm,0,0,57.79,-1.77,0
2026-07-23,36.12,18.7,70.5,Calm,0,0,56.34,-4.23,0
2026-07-24,39.87,18.58,68.1,Calm,0,0,56.82,-3.42,0
2026-07-27,40.07,18.67,70.1,Calm,0,0,56.93,-3.23,0
2026-07-28,39.46,18.21,64.5,Calm,0,0,57.1,-2.94,0
2026-07-29,45.95,20.66,83.7,Calm,0,0,55.35,-5.92,0
